exposures,theta,conversions
"[0, 0, 0]","[0.5447018165656656, 0.663950115763133, 0.8475230263892369]","[0, 0, 0]"
"[0, 0, 1]","[0.9135734096448694, 0.9153959580593027, 0.6253084531306025]","[0, 0, 0]"
"[0, 1, 1]","[0.9796800907728219, 0.08470276871008231, 0.8218000860793299]","[0, 0, 0]"
"[1, 1, 1]","[0.5471811989678197, 0.4088593538894878, 0.4039946030705631]","[0, 0, 0]"
"[2, 1, 1]","[0.328334218367547, 0.23756365477584587, 0.13525476775374246]","[1, 0, 0]"
"[3, 1, 1]","[0.17909695741623932, 0.581620944173555, 0.20646442496538678]","[1, 0, 0]"
"[3, 2, 1]","[0.2054399230256512, 0.4100668036112635, 0.26612711464956407]","[1, 0, 0]"
"[3, 3, 1]","[0.4100201700846132, 0.2197701297562715, 0.0904021309178788]","[1, 0, 0]"
"[4, 3, 1]","[0.3917880695208281, 0.046136566975248566, 0.05835492603343311]","[1, 0, 0]"
"[5, 3, 1]","[0.5795077549888541, 0.0878635095887437, 0.1475341620820748]","[1, 0, 0]"
"[6, 3, 1]","[0.053975443187715084, 0.11287600361322804, 0.5827686333322226]","[1, 0, 0]"
"[6, 3, 2]","[0.26817958323005553, 0.011735238915400015, 0.3638301014168032]","[1, 0, 0]"
"[6, 3, 3]","[0.2162552674719751, 0.17637147342066262, 0.20352591722797642]","[1, 0, 0]"
"[7, 3, 3]","[0.2722440181371031, 0.06125711628814729, 0.0014037880786824768]","[1, 0, 0]"
"[8, 3, 3]","[0.02596852851205407, 0.04279510768286857, 0.20191931471337868]","[1, 0, 0]"
"[8, 3, 4]","[0.20826772118381698, 0.15672746845703092, 0.22171972014038271]","[1, 0, 0]"
"[8, 3, 5]","[0.28372191734914926, 0.2893585190335728, 0.2730516430498493]","[1, 0, 0]"
"[8, 4, 5]","[0.1517754601695671, 0.2964554978866767, 0.01539504416211211]","[1, 0, 0]"
"[8, 5, 5]","[0.22218018339492482, 0.2230105281343362, 0.004648300322483947]","[1, 0, 0]"
"[8, 6, 5]","[0.08895307224309566, 0.08032286574506246, 0.3859343279419172]","[1, 0, 0]"
"[8, 6, 6]","[0.09979543564646659, 0.09459915013612132, 0.17639119717110305]","[1, 0, 0]"
"[8, 6, 7]","[0.2962043531232579, 0.17633273902645724, 0.11482975330798183]","[1, 0, 1]"
"[9, 6, 7]","[0.1126943454826827, 0.04562730411805858, 0.24185122018753893]","[1, 0, 1]"
"[9, 6, 8]","[0.2827504435523033, 0.09668022565723006, 0.09924026272657077]","[1, 0, 1]"
"[10, 6, 8]","[0.2879665899508298, 0.3532209457485063, 0.18167847353090014]","[1, 0, 1]"
"[10, 7, 8]","[0.24242325360199396, 0.004203745575847682, 0.1146861649545191]","[1, 0, 1]"
"[11, 7, 8]","[0.20742264875827432, 0.16944564004176885, 0.21607450173027604]","[1, 0, 1]"
"[11, 7, 9]","[0.15532801513537797, 0.037316354130742524, 0.051512673117832634]","[1, 0, 1]"
"[12, 7, 9]","[0.1404547118366609, 0.18013717285689934, 0.13281145530660513]","[1, 0, 1]"
"[12, 8, 9]","[0.04395018496743335, 0.200136801460383, 0.03356837913977507]","[1, 0, 1]"
"[12, 9, 9]","[0.13290632145312004, 0.08243697496486285, 0.018899369013301717]","[1, 0, 1]"
"[13, 9, 9]","[0.41544381284211407, 0.2408100952392331, 0.19241444537005037]","[1, 0, 1]"
"[14, 9, 9]","[0.013340877046693301, 0.08056037316726829, 0.0936580605460863]","[1, 0, 1]"
"[14, 9, 10]","[0.13226821189819835, 0.10897482529580094, 0.17639742786215334]","[1, 0, 1]"
"[14, 9, 11]","[0.23092497020431493, 0.04869342405761572, 0.051749443554888204]","[1, 0, 1]"
"[15, 9, 11]","[0.11303594855127706, 0.08463406010851057, 0.10862447623930287]","[1, 0, 1]"
"[16, 9, 11]","[0.15003985525865196, 0.14407037128349354, 0.04267781992264537]","[1, 0, 1]"
"[17, 9, 11]","[0.09658732298463635, 0.10538395188615807, 0.07131054168101833]","[1, 0, 1]"
"[17, 10, 11]","[0.01809020766610063, 0.05558609439291083, 0.13009631790821266]","[1, 0, 1]"
"[17, 10, 12]","[0.09978396984046799, 0.1773159040327716, 0.11764467818413896]","[1, 0, 1]"
"[17, 11, 12]","[0.0337101796186543, 0.10060823214089888, 0.10144425681923494]","[1, 0, 1]"
"[17, 11, 13]","[0.07958235370235754, 0.12029909690926957, 0.3303636738156426]","[1, 0, 2]"
"[17, 11, 14]","[0.16308555509570358, 0.05990248678918702, 0.1595420983176157]","[1, 0, 2]"
"[18, 11, 14]","[0.09497205162604948, 0.03376888661562063, 0.035119804267943235]","[2, 0, 2]"
"[19, 11, 14]","[0.10726939449896533, 0.01737178388838671, 0.3264464267851477]","[2, 0, 2]"
"[19, 11, 15]","[0.2679977502682847, 0.023155357440736882, 0.1417331316652404]","[2, 0, 2]"
"[20, 11, 15]","[0.0665579429778384, 0.08070485002204804, 0.08137520419577879]","[2, 0, 2]"
"[20, 11, 16]","[0.05279829623517411, 0.12104546077807597, 0.12528973629533488]","[2, 0, 3]"
"[20, 11, 17]","[0.21730768774112505, 0.02696902758411173, 0.12748109643563174]","[2, 0, 3]"
"[21, 11, 17]","[0.06251424863829126, 0.010632195502420092, 0.38667631831958565]","[2, 0, 3]"
"[21, 11, 18]","[0.06522339496218107, 0.08656463517952785, 0.05911406596001958]","[2, 0, 3]"
"[21, 12, 18]","[0.16186227229676803, 0.05642312900741001, 0.12424010548853093]","[2, 0, 3]"
"[22, 12, 18]","[0.051837629013518925, 0.012691164044165336, 0.18109779661909073]","[2, 0, 3]"
"[22, 12, 19]","[0.055547720644577275, 0.08489339843539434, 0.16367226967378923]","[2, 0, 4]"
"[22, 12, 20]","[0.043547583924176125, 0.06737680483952707, 0.22213798538584179]","[2, 0, 4]"
"[22, 12, 21]","[0.055863540177122493, 0.015425073908691174, 0.2633593088662066]","[2, 0, 4]"
"[22, 12, 22]","[0.13180407343250675, 0.015728410396655512, 0.16204822797607746]","[2, 0, 4]"
"[22, 12, 23]","[0.07049881195624792, 0.18079124057510634, 0.12030153903560946]","[2, 0, 4]"
"[22, 13, 23]","[0.035574478282576524, 0.0907756617057205, 0.06600916975141034]","[2, 0, 4]"
"[22, 14, 23]","[0.04203264685025376, 0.0829640802183872, 0.13448920896737426]","[2, 0, 4]"
"[22, 14, 24]","[0.07365204976353865, 0.00022854449351195942, 0.25158412776732403]","[2, 0, 5]"
"[22, 14, 25]","[0.048866558503631634, 0.013753913300418636, 0.13635902669534927]","[2, 0, 6]"
"[22, 14, 26]","[0.09489399945870441, 0.11567320972145141, 0.22277491390823906]","[2, 0, 6]"
"[22, 14, 27]","[0.06395073262974017, 0.24033550287650057, 0.18073644096537567]","[2, 0, 6]"
"[22, 15, 27]","[0.062160637398599, 0.003697445988876677, 0.16734744881682653]","[2, 0, 6]"
"[22, 15, 28]","[0.07300569220994658, 0.017590152934179516, 0.31782823690480183]","[2, 0, 6]"
"[22, 15, 29]","[0.11169830286349236, 0.09612676259669492, 0.10736658816147492]","[2, 0, 6]"
"[23, 15, 29]","[0.18003503931187825, 0.038377754088715896, 0.13628869116058026]","[2, 0, 6]"
"[24, 15, 29]","[0.2548211055305195, 0.05686461362550633, 0.20028977636893944]","[2, 0, 6]"
"[25, 15, 29]","[0.11628112719747315, 0.043454495686493774, 0.14127897174513507]","[2, 0, 6]"
"[25, 15, 30]","[0.07328386243800832, 0.08199730478201289, 0.20107530809262544]","[2, 0, 6]"
"[25, 15, 31]","[0.2571729349194484, 0.09458491044443103, 0.14753003614539315]","[2, 0, 6]"
"[26, 15, 31]","[0.052101509802866826, 0.05164138886337748, 0.1825087834780374]","[2, 0, 6]"
"[26, 15, 32]","[0.04278710223133145, 0.14096607302214376, 0.12001540482620297]","[2, 0, 6]"
"[26, 16, 32]","[0.1393529667876642, 0.02190359346066732, 0.16401202718430138]","[2, 0, 6]"
"[26, 16, 33]","[0.14149149825463414, 0.05394185987657186, 0.19366986631926453]","[2, 0, 6]"
"[26, 16, 34]","[0.09257561707155619, 0.01141169602008221, 0.12234893274154546]","[2, 0, 6]"
"[26, 16, 35]","[0.13469996946591115, 0.15303911315549334, 0.2008660628325245]","[2, 0, 7]"
"[26, 16, 36]","[0.1694568083410116, 0.05918434799642795, 0.16890805797737501]","[2, 0, 7]"
"[27, 16, 36]","[0.11485520163864178, 0.021274010167157922, 0.20539168519602977]","[2, 0, 7]"
"[27, 16, 37]","[0.08197627689653617, 0.22053230064264254, 0.09512563169877028]","[2, 0, 7]"
"[27, 17, 37]","[0.017007775058167654, 0.019599062171715535, 0.18312812654104296]","[2, 0, 7]"
"[27, 17, 38]","[0.0813106270953527, 0.01898405966174892, 0.11265174485776112]","[2, 0, 7]"
"[27, 17, 39]","[0.041288093335679295, 0.027221551052009622, 0.23662558652783675]","[2, 0, 7]"
"[27, 17, 40]","[0.15297050497023656, 0.03981920847963284, 0.08432259539486806]","[2, 0, 8]"
"[28, 17, 40]","[0.08684934510776099, 0.10088093416176228, 0.06732850373547686]","[2, 0, 8]"
"[28, 18, 40]","[0.2632380504562343, 0.13493554034367186, 0.13316146428668926]","[2, 0, 8]"
"[29, 18, 40]","[0.07418714013356065, 0.06546600196844392, 0.2543458920366622]","[2, 0, 8]"
"[29, 18, 41]","[0.03841291739487319, 0.01593265613968426, 0.15285645484034446]","[2, 0, 8]"
"[29, 18, 42]","[0.05321537991625648, 0.02730422061858051, 0.09938875356547688]","[2, 0, 8]"
"[29, 18, 43]","[0.07779154838688718, 0.06331357519783601, 0.12873885484550762]","[2, 0, 8]"
"[29, 18, 44]","[0.13773903704262017, 0.03238169735810592, 0.19043483865189656]","[2, 0, 8]"
"[29, 18, 45]","[0.08381738469679657, 0.0017570990505275945, 0.10689189790792872]","[2, 0, 8]"
"[29, 18, 46]","[0.11518660898070965, 0.07948518391657719, 0.0926986153955755]","[2, 0, 8]"
"[30, 18, 46]","[0.12795041375678481, 0.18175823034370409, 0.23865042391794486]","[2, 0, 8]"
"[30, 18, 47]","[0.17176806350435095, 0.002922027985533824, 0.14306311121336304]","[2, 0, 8]"
"[31, 18, 47]","[0.05085361643187088, 0.028594964676899842, 0.034024152246853644]","[2, 0, 8]"
"[32, 18, 47]","[0.1334485503305789, 0.01974004975078772, 0.26596690105963194]","[2, 0, 8]"
"[32, 18, 48]","[0.11549145934848204, 0.0004687905076826139, 0.17492115968789085]","[2, 0, 8]"
"[32, 18, 49]","[0.09049232724426821, 0.08953299235947416, 0.1673445218181707]","[2, 0, 8]"
"[32, 18, 50]","[0.056307593630940636, 0.0033319949391290462, 0.16679330276161905]","[2, 0, 8]"
"[32, 18, 51]","[0.14617299838346043, 0.14142992180514405, 0.2294309049538474]","[2, 0, 9]"
"[32, 18, 52]","[0.045196952383839105, 0.004114185924248586, 0.18515861143075507]","[2, 0, 9]"
"[32, 18, 53]","[0.12226203167446008, 0.012781413579798841, 0.1567453934143056]","[2, 0, 9]"
"[32, 18, 54]","[0.05112139858006255, 0.0595841935145503, 0.24427782316058805]","[2, 0, 9]"
"[32, 18, 55]","[0.039683083847696275, 0.02808635464156311, 0.1780142639413251]","[2, 0, 9]"
"[32, 18, 56]","[0.11935964552224276, 0.06631073868859629, 0.12026318797987669]","[2, 0, 9]"
"[32, 18, 57]","[0.05080371289591498, 0.09156523258516547, 0.11944612170693551]","[2, 0, 9]"
"[32, 18, 58]","[0.08078901685995953, 0.028505792468717244, 0.10154397526026007]","[2, 0, 9]"
"[32, 18, 59]","[0.0310453450349561, 0.023527238824593722, 0.10748794465825484]","[2, 0, 9]"
"[32, 18, 60]","[0.03297776233007047, 0.019329250161088524, 0.1219694025501146]","[2, 0, 9]"
"[32, 18, 61]","[0.040882198940505717, 0.024382892290802302, 0.10632514059651371]","[2, 0, 9]"
"[32, 18, 62]","[0.006897935410288379, 0.03422422177965822, 0.16813068164637116]","[2, 0, 10]"
"[32, 18, 63]","[0.09351959178403807, 0.047301482404393184, 0.11867191514950151]","[2, 0, 10]"
"[32, 18, 64]","[0.10869222735744888, 0.01072088805935915, 0.22273268224983958]","[2, 0, 10]"
"[32, 18, 65]","[0.04908765528771609, 0.10494140514392492, 0.2040861175483031]","[2, 0, 10]"
"[32, 18, 66]","[0.07204368896988672, 0.058331240952293674, 0.12306390158084181]","[2, 0, 10]"
"[32, 18, 67]","[0.10301498129931391, 0.08912289640070752, 0.18066985388838505]","[2, 0, 10]"
"[32, 18, 68]","[0.020310365347038974, 0.11266131416436809, 0.2242472549362894]","[2, 0, 10]"
"[32, 18, 69]","[0.10279879236407076, 0.013602387260313008, 0.10362300720642902]","[2, 0, 10]"
"[32, 18, 70]","[0.10153482914058187, 0.09272437159222, 0.11424639046587555]","[2, 0, 10]"
"[32, 18, 71]","[0.07026577834341355, 0.1227195745528006, 0.1365086559347623]","[2, 0, 10]"
"[32, 18, 72]","[0.12527972778245325, 0.07989502276033503, 0.15311953632672515]","[2, 0, 11]"
"[32, 18, 73]","[0.06586726507295071, 0.018167863429387737, 0.1361448301089414]","[2, 0, 11]"
"[32, 18, 74]","[0.10812992168358407, 0.10217620657150736, 0.13070488171094544]","[2, 0, 11]"
"[32, 18, 75]","[0.14692770376194791, 0.005909347877720298, 0.156230635515601]","[2, 0, 12]"
"[32, 18, 76]","[0.09196460678919767, 0.009088098474856286, 0.16976851190352343]","[2, 0, 12]"
"[32, 18, 77]","[0.02983746562616764, 0.00019015623077197507, 0.13999084301718764]","[2, 0, 12]"
"[32, 18, 78]","[0.06724885915354085, 0.0010857485152142789, 0.24388528904759446]","[2, 0, 13]"
"[32, 18, 79]","[0.11540868688976393, 0.028141811245728666, 0.09965285477224475]","[2, 0, 13]"
"[33, 18, 79]","[0.07418350993461298, 0.024847439566241792, 0.16069721571343895]","[2, 0, 13]"
"[33, 18, 80]","[0.09800434838358199, 0.01067045895329356, 0.16104164094564324]","[2, 0, 14]"
"[33, 18, 81]","[0.06878136300596488, 0.013723181216396003, 0.17740604488897393]","[2, 0, 14]"
"[33, 18, 82]","[0.053349062314243176, 0.008304357878417235, 0.22100889935773105]","[2, 0, 15]"
"[33, 18, 83]","[0.1290258601997842, 0.03829056324477767, 0.10729921133221416]","[2, 0, 15]"
"[34, 18, 83]","[0.06335604642217939, 0.139046085616356, 0.15297262524706604]","[2, 0, 15]"
"[34, 18, 84]","[0.07210704199266732, 0.01645653908769762, 0.0918363625500337]","[2, 0, 15]"
"[34, 18, 85]","[0.12663611980202386, 0.01021819840382056, 0.19497533250824875]","[2, 0, 15]"
"[34, 18, 86]","[0.0069237199591619895, 0.16576431772796943, 0.14913208292250887]","[2, 0, 15]"
"[34, 19, 86]","[0.09036731161469623, 0.09997893641388099, 0.25347748976929674]","[2, 0, 15]"
"[34, 19, 87]","[0.028808398104348466, 0.020612380457791058, 0.13551189563802746]","[2, 0, 15]"
"[34, 19, 88]","[0.08581128598763464, 0.01618577157147471, 0.15572376216908507]","[2, 0, 15]"
"[34, 19, 89]","[0.06938610240333076, 0.012352659119149893, 0.1356950662785727]","[2, 0, 15]"
"[34, 19, 90]","[0.08018801825386694, 0.05694401676783385, 0.09067606062394853]","[2, 0, 15]"
"[34, 19, 91]","[0.09788964954976292, 0.043743258563742546, 0.14097173197249438]","[2, 0, 15]"
"[34, 19, 92]","[0.0965699093542287, 0.10157467685059446, 0.1371281756734539]","[2, 0, 15]"
"[34, 19, 93]","[0.06003483030870104, 0.03533458894475447, 0.18215277471071675]","[2, 0, 15]"
"[34, 19, 94]","[0.05962684047186249, 0.020329955390490234, 0.11434288162956228]","[2, 0, 15]"
"[34, 19, 95]","[0.08471861675740687, 0.0026465814693985173, 0.16189720926226261]","[2, 0, 15]"
"[34, 19, 96]","[0.07918057445914103, 0.08501227483304191, 0.22322614787469705]","[2, 0, 16]"
"[34, 19, 97]","[0.040927671785139556, 0.1131590048434083, 0.0997716577306669]","[2, 0, 16]"
"[34, 20, 97]","[0.021758690045749214, 0.04773628371556988, 0.19385962890314737]","[2, 0, 16]"
"[34, 20, 98]","[0.04952880862768352, 0.087632919065042, 0.15799614408298412]","[2, 0, 16]"
"[34, 20, 99]","[0.029865392367315922, 0.02501040431065346, 0.14194659226129616]","[2, 0, 16]"
"[34, 20, 100]","[0.048787296138093364, 0.1761453376522903, 0.1332475570741713]","[2, 0, 16]"
"[34, 21, 100]","[0.09676818105347373, 0.007737707639376923, 0.11831881316262088]","[2, 0, 16]"
"[34, 21, 101]","[0.09595029487805797, 0.06089408229306897, 0.1575858426456726]","[2, 0, 16]"
"[34, 21, 102]","[0.03952854907624674, 0.015160098557788926, 0.15314712550470905]","[2, 0, 17]"
"[34, 21, 103]","[0.07894161899449954, 0.055182065180758036, 0.13807459611388975]","[2, 0, 17]"
"[34, 21, 104]","[0.028479245528241177, 0.00011481359310946275, 0.109275240968635]","[2, 0, 18]"
"[34, 21, 105]","[0.05919089849832794, 0.010114862711163242, 0.15383573622521382]","[2, 0, 18]"
"[34, 21, 106]","[0.040459384283154896, 0.03138655510769886, 0.12124452151813392]","[2, 0, 18]"
"[34, 21, 107]","[0.04681193515497855, 0.05387544553572525, 0.11705567072599442]","[2, 0, 18]"
"[34, 21, 108]","[0.0896632902126987, 0.0015276433377360977, 0.14227145691079177]","[2, 0, 18]"
"[34, 21, 109]","[0.10984763646762417, 0.05346156881853429, 0.1658363776373176]","[2, 0, 18]"
"[34, 21, 110]","[0.044441610580822875, 0.04752439486644431, 0.12388991166531214]","[2, 0, 18]"
"[34, 21, 111]","[0.07465292925099708, 0.044834690933021386, 0.19255100373748976]","[2, 0, 19]"
"[34, 21, 112]","[0.11545709748563197, 0.07631856109435166, 0.15718249542543522]","[2, 0, 19]"
"[34, 21, 113]","[0.010823946108136952, 0.004296580828429699, 0.15538017205537638]","[2, 0, 19]"
"[34, 21, 114]","[0.06566314927736436, 0.05470137511236053, 0.21066073452443385]","[2, 0, 19]"
"[34, 21, 115]","[0.027244540535166728, 0.025937197165368308, 0.1826943659006449]","[2, 0, 19]"
"[34, 21, 116]","[0.10341744119008375, 0.060468909441427965, 0.16739044005734416]","[2, 0, 19]"
"[34, 21, 117]","[0.032586553001417724, 0.10468063930481243, 0.16030594834507203]","[2, 0, 19]"
"[34, 21, 118]","[0.10926375113664807, 0.04329723722391393, 0.14423386529990662]","[2, 0, 19]"
"[34, 21, 119]","[0.12306735868249953, 0.10973821575314929, 0.11756486183204892]","[2, 0, 20]"
"[35, 21, 119]","[0.15160406759008935, 0.008042469151539536, 0.08512143391728662]","[2, 0, 20]"
"[36, 21, 119]","[0.10012165323150272, 0.04996280819151626, 0.10850736650143626]","[2, 0, 20]"
"[36, 21, 120]","[0.04074401507541143, 0.006313739714722799, 0.17366044721254584]","[2, 0, 20]"
"[36, 21, 121]","[0.04149166318281144, 0.04064166711356802, 0.10957882037343428]","[2, 0, 20]"
"[36, 21, 122]","[0.12281000167286688, 0.07086329061285379, 0.13447742572533264]","[2, 0, 20]"
"[36, 21, 123]","[0.03893467280272103, 0.03127485529301537, 0.16212491260413003]","[2, 0, 20]"
"[36, 21, 124]","[0.04984293394989325, 0.08123606591890792, 0.14782332753893382]","[2, 0, 20]"
"[36, 21, 125]","[0.022189386578701446, 0.02753115604005123, 0.12877704632391704]","[2, 0, 20]"
"[36, 21, 126]","[0.02811556806020006, 0.09070461656087181, 0.13109796848435598]","[2, 0, 20]"
"[36, 21, 127]","[0.0722656582718635, 0.045400026980901294, 0.20390927005432008]","[2, 0, 20]"
"[36, 21, 128]","[0.07802434992395887, 0.001987828260394962, 0.10330114494134823]","[2, 0, 20]"
"[36, 21, 129]","[0.03612733481853489, 0.03549583591195536, 0.09761816968122]","[2, 0, 20]"
"[36, 21, 130]","[0.06672611116320644, 0.06275011490461373, 0.17370368441335998]","[2, 0, 20]"
"[36, 21, 131]","[0.018654124222477027, 0.015873139873235204, 0.12798625820352744]","[2, 0, 20]"
"[36, 21, 132]","[0.026127436490975542, 0.07461699101920666, 0.13148058820765368]","[2, 0, 20]"
"[36, 21, 133]","[0.14224574941433643, 0.001037669658467356, 0.17155432060560932]","[2, 0, 20]"
"[36, 21, 134]","[0.1784323015427588, 0.12879180600024526, 0.08620986497736732]","[2, 0, 20]"
"[37, 21, 134]","[0.11986005731834254, 0.02577402968398055, 0.13112142999669468]","[2, 0, 20]"
"[37, 21, 135]","[0.024017136458814255, 0.04292221673694426, 0.1437369260362473]","[2, 0, 21]"
"[37, 21, 136]","[0.08799726049884125, 0.011692346940753965, 0.1598192573189247]","[2, 0, 21]"
"[37, 21, 137]","[0.0322667968331384, 0.0236970725792379, 0.17799710584526737]","[2, 0, 21]"
"[37, 21, 138]","[0.17847298820373725, 0.04978611821879752, 0.13109017485205943]","[2, 0, 22]"
"[38, 21, 138]","[0.0548350513048863, 0.019054237507026853, 0.1548834521745321]","[2, 0, 22]"
"[38, 21, 139]","[0.08908735346247873, 0.01580757138689521, 0.179748742370677]","[2, 0, 22]"
"[38, 21, 140]","[0.05964186293628247, 0.03468332889010572, 0.15491278423362018]","[2, 0, 22]"
"[38, 21, 141]","[0.054553571301786764, 0.0321207190057482, 0.10253495623203006]","[2, 0, 22]"
"[38, 21, 142]","[0.06479251109862645, 0.039356956690930665, 0.22785925737393192]","[2, 0, 22]"
"[38, 21, 143]","[0.026567086629612397, 0.1287316419922822, 0.10776526017206817]","[2, 0, 22]"
"[38, 22, 143]","[0.11088868303164635, 0.015407310819829823, 0.11948108912847119]","[2, 0, 22]"
"[38, 22, 144]","[0.04428680095413887, 0.005193737132526206, 0.1760660589086921]","[2, 0, 22]"
"[38, 22, 145]","[0.11057345773533162, 0.06610456299543023, 0.13641723739951378]","[2, 0, 22]"
"[38, 22, 146]","[0.042287897955917544, 0.0798432484802616, 0.10837709810459305]","[2, 0, 23]"
"[38, 22, 147]","[0.02766533951818659, 0.0010741821969888845, 0.14612565174618933]","[2, 0, 23]"
"[38, 22, 148]","[0.015364235729667079, 0.07511552919339488, 0.12910807441141137]","[2, 0, 24]"
"[38, 22, 149]","[0.06870369837460925, 0.03102247898201245, 0.15165163620197095]","[2, 0, 24]"
"[38, 22, 150]","[0.011772488098602263, 0.11008890151900175, 0.12561332541758016]","[2, 0, 25]"
"[38, 22, 151]","[0.03441620003037637, 0.01008719623565328, 0.17391968487016457]","[2, 0, 25]"
"[38, 22, 152]","[0.17238275175706144, 0.03306587189906316, 0.1392003741153477]","[2, 0, 25]"
"[39, 22, 152]","[0.08570419542011139, 0.06898517286709308, 0.10085848226720667]","[2, 0, 25]"
"[39, 22, 153]","[0.05028941689220298, 0.01786746637273373, 0.10036848273270209]","[2, 0, 25]"
"[39, 22, 154]","[0.04868039992358964, 0.11505776796561018, 0.11316597879535227]","[2, 0, 25]"
"[39, 23, 154]","[0.14984707103556047, 0.08208174933487436, 0.15061275883815728]","[2, 0, 25]"
"[39, 23, 155]","[0.007717051770115187, 0.012316955059471129, 0.1551932788595316]","[2, 0, 25]"
"[39, 23, 156]","[0.04624997685089581, 0.02749628940606403, 0.13147427153884858]","[2, 0, 25]"
"[39, 23, 157]","[0.04327455234938068, 0.027948848248981525, 0.13116799218681616]","[2, 0, 25]"
"[39, 23, 158]","[0.05134221701327119, 0.03862929122389953, 0.1514274198715708]","[2, 0, 25]"
"[39, 23, 159]","[0.034363904793517, 0.036706907397344155, 0.12833462883608582]","[2, 0, 25]"
"[39, 23, 160]","[0.08014839224813283, 0.002289149614350925, 0.12312847655383397]","[2, 0, 25]"
"[39, 23, 161]","[0.08240102622140259, 0.050611088094870665, 0.15771445085025268]","[2, 0, 25]"
"[39, 23, 162]","[0.06755740750927877, 0.03154193419445946, 0.1238885138830176]","[2, 0, 25]"
"[39, 23, 163]","[0.040023667130907964, 0.023016575305611423, 0.13892494586379545]","[2, 0, 25]"
"[39, 23, 164]","[0.025204933557929236, 0.006497981074065815, 0.13270759193245338]","[2, 0, 25]"
"[39, 23, 165]","[0.05223033140669664, 0.015376362221121988, 0.11728149610599874]","[2, 0, 25]"
"[39, 23, 166]","[0.057491209564805384, 0.06594498052997513, 0.10562011918976877]","[2, 0, 25]"
"[39, 23, 167]","[0.11465059258130449, 0.04046944251716138, 0.12426701998839103]","[2, 0, 26]"
"[39, 23, 168]","[0.02117088476324992, 0.02223584286812369, 0.12453621884792619]","[2, 0, 26]"
"[39, 23, 169]","[0.12992397321558088, 0.03244813466413332, 0.11754359344958556]","[2, 0, 26]"
"[40, 23, 169]","[0.04162660388295634, 0.08507778615874342, 0.14362384221094898]","[2, 0, 26]"
"[40, 23, 170]","[0.03323346948455785, 0.007469604602477256, 0.15348626176637886]","[2, 0, 27]"
"[40, 23, 171]","[0.07322674661363056, 0.007284043192737393, 0.13579016291721652]","[2, 0, 27]"
"[40, 23, 172]","[0.058387265572058235, 0.03225300762972076, 0.1553228818144331]","[2, 0, 27]"
"[40, 23, 173]","[0.1059930321486962, 0.017702685243601066, 0.13614499104501118]","[2, 0, 27]"
"[40, 23, 174]","[0.00949430797227616, 0.03363677435677996, 0.1505756785335538]","[2, 0, 27]"
"[40, 23, 175]","[0.023501093266843163, 0.0527536812787882, 0.13771202146848072]","[2, 0, 28]"
"[40, 23, 176]","[0.09670554666295139, 0.00502403333188993, 0.09225357900432175]","[2, 0, 28]"
"[41, 23, 176]","[0.05864683090583955, 0.019488539827369453, 0.1469847639031914]","[2, 0, 28]"
"[41, 23, 177]","[0.027084893222154443, 0.13440961234611848, 0.14556013351095157]","[2, 0, 28]"
"[41, 23, 178]","[0.05646165378985407, 0.054531931397999826, 0.13550590531972187]","[2, 0, 28]"
"[41, 23, 179]","[0.0435484859869113, 0.06005146490697111, 0.12482290364717932]","[2, 0, 28]"
"[41, 23, 180]","[0.023153823406543345, 0.021643862272538016, 0.15838236917815682]","[2, 0, 28]"
"[41, 23, 181]","[0.09940743917130355, 0.08250283551195751, 0.1940430815299167]","[2, 0, 28]"
"[41, 23, 182]","[0.029735434456240026, 0.07206465722420102, 0.16074611510647202]","[2, 0, 28]"
"[41, 23, 183]","[0.15123982590809115, 0.09178295261355886, 0.1320957245621485]","[2, 0, 28]"
"[42, 23, 183]","[0.037295872799010095, 0.03262122671231804, 0.09641975488067371]","[2, 0, 28]"
"[42, 23, 184]","[0.028137160646394432, 0.002462506172517903, 0.1516884627017933]","[2, 0, 29]"
"[42, 23, 185]","[0.046748255662791546, 0.009554872014853904, 0.155981779783472]","[2, 0, 29]"
"[42, 23, 186]","[0.012619040744078292, 0.026360690689681433, 0.11622734694579609]","[2, 0, 29]"
"[42, 23, 187]","[0.07315904021037743, 0.022798143978156816, 0.12661050581713484]","[2, 0, 29]"
"[42, 23, 188]","[0.1873429859995817, 0.10632319083535788, 0.13459888579917192]","[2, 0, 29]"
"[43, 23, 188]","[0.01473868735348451, 0.008127854060221484, 0.13512520834111946]","[2, 0, 29]"
"[43, 23, 189]","[0.07238189118216416, 0.027334139638096208, 0.09876499163897957]","[2, 0, 29]"
"[43, 23, 190]","[0.06984091968679873, 0.05386091245847599, 0.1418228800191891]","[2, 0, 30]"
"[43, 23, 191]","[0.09732102976194673, 0.028073332389930133, 0.14851387503813543]","[2, 0, 30]"
"[43, 23, 192]","[0.09998022736866873, 0.036541162247769834, 0.17275785207287817]","[2, 0, 30]"
"[43, 23, 193]","[0.024049710630851182, 0.059031108343340216, 0.08235890100719001]","[2, 0, 30]"
"[43, 23, 194]","[0.04834814956208387, 0.019485140958903115, 0.09104156472448982]","[2, 0, 30]"
"[43, 23, 195]","[0.10738317017211554, 0.005684213372507041, 0.12074706016700977]","[2, 0, 30]"
"[43, 23, 196]","[0.05047627652669452, 0.10769268058090894, 0.13655381508167339]","[2, 0, 30]"
